,SMILE,Compound
1,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(CC4=CC=C([N+]([O-])=O)O4)CC3,1
2,NC1=CN=C(C=NN2CCN(C3=CC=C(N4C[C@H](CNC(C)=O)OC4=O)C=C3F)CC2)N1C,2a
3,CC1=NC=C([N+]([O-])=O)N1CC=NN2CCN(C3=CC=C(N4C[C@H](CNC(C)=O)OC4=O)C=C3F)CC2,2b
4,CC1=NC=C([N+]([O-])=O)N1CC(C)=NN2CCN(C3=CC=C(N4C[C@H](CNC(C)=O)OC4=O)C=C3F)CC2,2c
5,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC=C([N+]([O-])=O)O4)CC3,2d
6,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC=C([N+]([O-])=O)S4)CC3,2e
7,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=C(Cl)C=CC=C4[N+]([O-])=O)CC3,2f
8,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC=CC=C4[N+]([O-])=O)CC3,2g
9,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC([N+]([O-])=O)=CC=C4)CC3,2h
10,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC=C([N+]([O-])=O)C=C4)CC3,2i
11,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=CC=C4)CC3)C(F)=C2,3a
12,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(C(C)O)C=C4)CC3)C(F)=C2,3b
13,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(OC(F)(F)F)C=C4)CC3)C(F)=C2,3c
14,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC(OC(F)(F)F)=CC=C4)CC3)C(F)=C2,3d
15,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=C(OC(F)(F)F)C=CC=C4)CC3)C(F)=C2,3e
16,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(F)C=C4)CC3)C(F)=C2,3f
17,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(Cl)C=C4)CC3)C(F)=C2,3g
18,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(Br)C=C4)CC3)C(F)=C2,3h
19,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC(Br)=CC=C4)CC3)C(F)=C2,3i
20,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=C(Br)C=CC=C4)CC3)C(F)=C2,3j
21,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=C(F)C=C(Br)C=C4)CC3)C(F)=C2,3k
22,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NCC4=CC=CC=C4)CC3)C(F)=C2,3l
23,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NCC4=CC=C(F)C=C4)CC3)C(F)=C2,3m
24,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3N=CC(C4=CC=C(C(N)=O)C=N4)=C3)C(F)=C2,4a
25,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3N=CC(C4=CC=C(C(OC)=O)C=N4)=C3)C(F)=C2,4b
26,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3N=CC(C4=CN=CC=N4)=C3)C(F)=C2,4c
27,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3N=CC(C4=NC(C=CC=C5)=C5N=C4)=C3)C(F)=C2,4d
28,O=C(C)NC[C@H](OC1=O)CN1C2=CC(F)=C(N3N=CC(C4=CC=CC=N4)=C3)C(F)=C2,4e
29,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3N=CC(C4=CC=CC=N4)=C3)C(F)=C2,5
30,O=C(NC[C@@](OC1=O)([H])CN1C(C=C2)=CC(C(F)(F)F)=C2N3CCOCC3)C(F)(F)F,6a
31,O=C(NC[C@@](OC1=O)([H])CN1C(C=C2)=CC(C(F)(F)F)=C2N3CCOCC3)C(Cl)(Cl)Cl,6b
32,O=C(NC[C@@](OC1=O)([H])CN1C(C=C2)=CC(C(F)(F)F)=C2N3CCOCC3)C(Cl)Cl,6c
33,O=C1O[C@@]([H])(CNC(Cl)=O)CN1C(C=C2)=CC(C(F)(F)F)=C2N3CCOCC3,6d
34,O=C1O[C@@]([H])(CNC(C=C)=O)CN1C(C=C2)=CC(C(F)(F)F)=C2N3CCOCC3,6e
35,O=C1O[C@@]([H])(CNC(C2=CC=CO2)=O)CN1C(C=C3)=CC(C(F)(F)F)=C3N4CCOCC4,6f
36,O=C(C)N(NC[C@@](OC1=O)([H])CN1C(C=C2)=CC(C(F)(F)F)=C2N3CCOCC3)C(C)=O,6g
37,OC1=C(/C=C/C(C2=CC=C(C3=CC=C(N4C[C@H](CCl)OC4=O)C=C3)C=C2)=O)C=CC=C1,7a
38,OC1=CC=C(/C([H])=C([H])/C(C2=CC=C(C3=CC=C(N4C[C@H](CCl)OC4=O)C=C3)C=C2)=O)C=C1,7b
39,FC1=C(/C=C/C(C2=CC=C(C3=CC=C(N4C[C@H](CCl)OC4=O)C=C3)C=C2)=O)C=CC=C1,7c
40,FC1=CC=CC(/C=C/C(C2=CC=C(C3=CC=C(N4C[C@H](CCl)OC4=O)C=C3)C=C2)=O)=C1,7d
41,FC1=CC=C(/C=C/C(C2=CC=C(C3=CC=C(N4C[C@H](CCl)OC4=O)C=C3)C=C2)=O)C=C1,7e
42,O=C1O[C@@H](CCl)CN1C(C=C2)=CC=C2C3=CC=C(C(/C=C/C4=CC=C(OC)C=C4)=O)C=C3,7f
43,ClC1=CC=C(/C=C/C(C2=CC=C(C3=CC=C(N4C[C@H](CCl)OC4=O)C=C3)C=C2)=O)C=C1,7g
44,O=C1O[C@@H](CCl)CN1C(C=C2)=CC=C2C3=CC=C(C(/C=C/C4=CC=C([N+]([O-])=O)C=C4)=O)C=C3,7h
45,OC1=C(OC)C=C(/C=C/C(C2=CC=C(C3=CC=C(N4C[C@H](CCl)OC4=O)C=C3)C=C2)=O)C=C1,7i
46,O=C(NC(NC1=O)=O)C21[C@]3([H])N(C[C@@H](C)O[C@H]3C)C4=C(F)C5=C(C(N6[C@@H](C)COC6=O)=NO5)C=C4C2,8
47,O=C(NC(NC1=O)=O)C21[C@]3([H])N(C[C@@H](C)O[C@H]3C)C4=C(F)C=C([N+]([O-])=O)C=C4C2,9
48,FC1=CC(N2C[C@H](CNC(C)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCOCC5C6(C(NC(NC6=O)=O)=O)C4,10a
49,FC1=CC(N2C[C@H](CNC(C)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCCCC5C6(C(NC(NC6=O)=O)=O)C4,10b
50,FC1=CC(N2C[C@H](CNC(C)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCCCC5C6(C(NC(NC6=O)=O)=O)C4,10c
51,FC1=CC(N2C[C@H](CNC(CC)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCCCC5C6(C(NC(NC6=O)=O)=O)C4,10d
52,FC1=CC(N2C[C@H](CNC(C(F)(F)F)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5COCC5C6(C(NC(NC6=O)=O)=O)C4,10e
53,FC1=CC(N2C[C@H](CNC(OC)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCCCC5C6(C(NC(NC6=O)=O)=O)C4,10f
54,FC1=CC(N2C[C@H](CNC(OC)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCCC5C6(C(NC(NC6=O)=O)=O)C4,10g
55,FC1=CC(N2C[C@H](CNC(OCC)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCCCC5C6(C(NC(NC6=O)=O)=O)C4,10h
56,FC1=CC(N2C[C@H](CNS(=O)(C)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCOCC5C6(C(NC(NC6=O)=O)=O)C4,10i
57,FC1=CC(N2C[C@H](CO)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCOCC5C6(C(NC(NC6=O)=O)=O)C4,10j
58,FC1=CC(N2C[C@H](CO)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCCCC5C6(C(NC(NC6=O)=O)=O)C4,10k
59,FC1=CC(N2C[C@H](CO)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCCC5C6(C(NC(NC6=O)=O)=O)C4,10l
60,FC1=CC(N2C[C@H](CNC(C)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCCC5C6(C(NNC6=O)=O)C4,10m
61,FC1=CC(N2C[C@H](CNC(C)=O)OC2=O)=CC=C1C3=CC4=C(C=C3)N5CCOCC5C(C(OC)=O)(C(OC)=O)C4,10n
62,O=C1O[C@@H](CNC(C)=O)CN1C(C=C2F)=CC=C2N3CCN(C(CO)=O)CC3,11
63,CC(NC[C@H](OC1=O)CN1C2=CC=C(N3CCNN(C(CO)=O)CC3)C(F)=C2)=O,12a
64,CC(NC[C@H](OC1=O)CN1C2=CC=C(N3CCNN(C(CO)=O)CC3)C(F)=C2)=S,12b
65,S=C(OC)NC[C@H](OC1=O)CN1C2=CC=C(N3CCNN(C(CO)=O)CC3)C(F)=C2,12c
66,O=C1O[C@@H](CNC2=NOC=C2)CN1C3=CC=C(N4CCNN(C(CO)=O)CC4)C(F)=C3,12d
67,CC(NC[C@H](OC1=O)CN1C2=CC(F)=C(N3CCNN(C(CO)=O)CC3)C(F)=C2)=O,13a
68,CC(NC[C@H](OC1=O)CN1C2=CC(F)=C(N3CCNN(C(CO)=O)CC3)C(F)=C2)=S,13b
69,S=C(OC)NC[C@H](OC1=O)CN1C2=CC(F)=C(N3CCNN(C(CO)=O)CC3)C(F)=C2,13c
70,O=C1O[C@@H](CNC2=NOC=C2)CN1C3=CC(F)=C(N4CCNN(C(CO)=O)CC4)C(F)=C3,13d
71,CC(NC[C@H](OC1=O)CN1C2=CC(F)=C(N3CCON(C(CO)=O)CC3)C(F)=C2)=O,14a
72,CC(NC[C@H](OC1=O)CN1C2=CC(F)=C(N3CCON(C(CO)=O)CC3)C(F)=C2)=S,14b
73,S=C(OC)NC[C@H](OC1=O)CN1C2=CC(F)=C(N3CCON(C(CO)=O)CC3)C(F)=C2,14c
74,O=C1O[C@@H](CNC2=NOC=C2)CN1C3=CC(F)=C(N4CCON(C(CO)=O)CC4)C(F)=C3,14d
75,O=C1O[C@@H](CNC(C)=O)CN1C(C=C2)=CC=C2C3=NN=C4N3C=CC=N4,15a
76,O=C1O[C@@H](CNC(CCl)=O)CN1C(C=C2)=CC=C2C3=NN=C4N3C=CC=N4,15b
77,O=C1O[C@@H](CNC(C(Cl)Cl)=O)CN1C(C=C2)=CC=C2C3=NN=C4N3C=CC=N4,15c
78,O=C1O[C@@H](CNC(C2CC2)=O)CN1C(C=C3)=CC=C3C4=NN=C5N4C=CC=N5,15d
79,O=C1O[C@@H](CNC(C)=S)CN1C(C=C2)=CC=C2C3=NN=C4N3C=CC=N4,15e
80,O=C1O[C@@H](CNC(CC)=S)CN1C(C=C2)=CC=C2C3=NN=C4N3C=CC=N4,15f
81,O=C1O[C@@H](CNC(C)=O)CN1C2=CC=C(C3=CN4C(C=C3)=NC=C4)C(F)=C2,16a
82,O=C1O[C@@H](CNC(C)=O)CN1C2=CC=C(C3=CC4=NC=CN4C=C3)C(F)=C2,16b
83,O=C1O[C@@H](CNC(C)=O)CN1C2=CC=C(C3=CN4C(C=C3)=NC=N4)C(F)=C2,16c
84,O=C1O[C@@H](CNC(C)=O)CN1C2=CC=C(C3=CC4=NC=NN4C=C3)C(F)=C2,16d
85,O=C1O[C@@H](CN2N=NC=C2)CN1C3=CC=C(C4=CN5C(C=C4)=NC=C5)C(F)=C3,17a
86,O=C1O[C@@H](CN2N=NC=C2)CN1C3=CC=C(C4=CC5=NC=CN5C=C4)C(F)=C3,17b
87,O=C1O[C@@H](CN2N=NC=C2)CN1C3=CC=C(C4=CN5C(C=C4)=NC=N5)C(F)=C3,17c
88,O=C1O[C@@H](CN2N=NC=C2)CN1C3=CC=C(C4=CC5=NC=NN5C=C4)C(F)=C3,17d
89,O=C1O[C@@H](CO)CN1C2=CC=C(C3=CC(NC(C4)=O)=C4C=C3)C(F)=C2,18a
90,O=C1O[C@@H](CO)CN1C2=CC=C(C3=CC(NC(O4)=O)=C4C=C3)C(F)=C2,18b
91,O=C1O[C@@H](CO)CN1C2=CC=C(C3=CC(NC(CO4)=O)=C4C=C3)C(F)=C2,18c
92,O=C1O[C@@H](CO)CN1C2=CC=C(C3=CC(NC(C=C4)=O)=C4N=C3)C(F)=C2,18d
93,O=C1O[C@@H](CO)CN1C2=CC=C(C3=CC(C(NC(C)=N4)=O)=C4C=C3)C(F)=C2,18e
94,O=C1O[C@@H](CO)CN1C2=CC=C(C3=CC=C(NC(CO4)=O)C4=C3)C(F)=C2,18f
95,O=C1O[C@@H](CNC(C)=O)CN1C(C=C2F)=CC=C2C3=CC(NC(CO4)=O)=C4C=C3,19a
96,O=C1O[C@@H](CNC(CC)=O)CN1C(C=C2F)=CC=C2C3=CC(NC(CO4)=O)=C4C=C3,19b
97,O=C1O[C@@H](CNC(C(F)F)=O)CN1C(C=C2F)=CC=C2C3=CC(NC(CO4)=O)=C4C=C3,19c
98,O=C1O[C@@H](CNC(CO)=O)CN1C(C=C2F)=CC=C2C3=CC(NC(CO4)=O)=C4C=C3,19d
99,O=C1O[C@@H](CNC(OC)=O)CN1C(C=C2F)=CC=C2C3=CC(NC(CO4)=O)=C4C=C3,19e
100,O=C1O[C@@H](CNC(C)=S)CN1C(C=C2F)=CC=C2C3=CC(NC(CO4)=O)=C4C=C3,19f
101,O=C1O[C@@H](CN2N=NC=C2)CN1C(C=C3)=CC(F)=C3N4CCN(C(C(F)(F)F)=O)CC4,20
102,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC=C4)OC3=O)C=C2)=O)OC(C)(C)C,21a
103,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC=C4)OC3=O)C=C2)=O)C5=CC=CC=C5,21b
104,O=CC1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1N([H])C(N(CC2)CCN2C3=C(F)C=C(N4C[C@H](CN5N=NC=C5)OC4=O)C=C3)=O,21c
105,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC=C4)OC3=O)C=C2)=O)C5=CC=CN=C5,21d
106,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC=C4)OC3=O)C=C2)=O)C5=CC=CO5,21e
107,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC=C4)OC3=O)C=C2)=O)C5=CC=C([N+]([O-])=O)O5,21f
108,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC(C)=C4)OC3=O)C=C2)=O)OC(C)(C)C,22a
109,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC(C)=C4)OC3=O)C=C2)=O)C5=CC=CC=C5,22b
110,O=CC1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1N([H])C(N(CC2)CCN2C3=C(F)C=C(N4C[C@H](CN5N=NC(C)=C5)OC4=O)C=C3)=O,22c
111,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC(C)=C4)OC3=O)C=C2)=O)C5=CC=CN=C5,22d
112,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC(C)=C4)OC3=O)C=C2)=O)C5=CC=CO5,22e
113,O=C(N([H])C(N(CC1)CCN1C2=C(F)C=C(N3C[C@H](CN4N=NC(C)=C4)OC3=O)C=C2)=O)C5=CC=C([N+]([O-])=O)O5,22f
114,O=C1O[C@@H](CO)CN1C(C=C2)=CC(F)=C2C3=C(C)N=C(C)C(C)=N3,23a
115,O=C1O[C@@H](CN2C=CN=N2)CN1C(C=C3)=CC([H])=C3C4=C(C)N=C(C)C(C)=N4,23b
116,O=C1O[C@@H](CN2C=CN=N2)CN1C(C=C3)=CC(F)=C3C4=C(C)N=C(C)C(C)=N4,23c
117,O=C1O[C@@H](CN2C=C(CCCC)N=N2)CN1C(C=C3)=CC(F)=C3C4=C(C)N=C(C)C(C)=N4,23d
118,O=C1O[C@@H](CNC(C)=O)CN1C(C=C2)=CC([H])=C2C3=C(C)N=C(C)C(C)=N3,23e
119,O=C1O[C@@H](CNC(C)=O)CN1C(C=C2)=CC(F)=C2C3=C(C)N=C(C)C(C)=N3,23f
120,O=C1O[C@@H](CNC(Cl)=O)CN1C(C=C2)=CC([H])=C2C3=C(C)N=C(C)C(C)=N3,23g
121,O=C1O[C@@H](CNC(Cl)=O)CN1C(C=C2)=CC(F)=C2C3=C(C)N=C(C)C(C)=N3,23h
122,O=C1O[C@@H](CNC(C(Cl)Cl)=O)CN1C(C=C2)=CC([H])=C2C3=C(C)N=C(C)C(C)=N3,23i
123,O=C1O[C@@H](CNC(C(Cl)Cl)=O)CN1C(C=C2)=CC(F)=C2C3=C(C)N=C(C)C(C)=N3,23j
124,O=C1O[C@@H](CNC(OC)=O)CN1C(C=C2)=CC([H])=C2C3=C(C)N=C(C)C(C)=N3,23k
125,O=C1O[C@@H](CNC(OC)=O)CN1C(C=C2)=CC(F)=C2C3=C(C)N=C(C)C(C)=N3,23l
126,O=C1O[C@@H](CNC(C2=CC=CO2)=O)CN1C(C=C3)=CC([H])=C3C4=C(C)N=C(C)C(C)=N4,23m
127,O=C1O[C@@H](CNC(C2=CC=CO2)=O)CN1C(C=C3)=CC(F)=C3C4=C(C)N=C(C)C(C)=N4,23n
128,O=C1O[C@@H](CNC(C)=O)CN1C(C=C2C)=CC(F)=C2C3CC[Si](C)(C)CC3,24a
129,O=C1O[C@@H](CNC(C)=O)CN1C(C=C2F)=CC(F)=C2C3CC[Si](C)(C4=CC=CC=C4)CC3,24b
130,O=C1O[C@@H](CNC(C)=O)CN1C(C=C2F)=CC(F)=C2C3CC[Si](C)(C)CC3,24c
131,O=C1O[C@@H](CNC(OC)=O)CN1C(C=C2C)=CC(F)=C2C3CC[Si](C)(C)CC3,24d
132,O=C1O[C@@H](CNC(OC)=O)CN1C(C=C2C)=CC(F)=C2C3CC[Si](C)(C)CC3,25a
133,O=C1O[C@@H](CNC(OC)=O)CN1C(C=C2F)=CC(F)=C2C3CC[Si](C)(C)CC3,25b
134,O=C1O[C@@H](CNC(N)=O)CN1C(C=C2)=CC(F)=C2C3CC[Si](C)(C)CC3,25c
135,O=C1O[C@@H](CNC(N)=O)CN1C(C=C2F)=CC(F)=C2C3CC[Si](C)(C)CC3,25d
136,O=C1O[C@@H](CNC2=NOC=C2)CN1C(C(F)=C3F)=CC(F)=C3N4CCC(CC4)=O,26
137,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=CS4)C=C3,27a
