,SMILE,Compound
138,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=CC=C4)C=C3,27b
139,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=NC=C4)C=C3,27c
140,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=CN=C4)C=C3,27d
141,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CN=CN=C4)C=C3,27e
142,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#N)N=C4)C=C3,27f
143,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=NC=C4)C(F)=C3,28a
144,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=CN=C4)C(F)=C3,28b
145,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#N)N=C4)C(F)=C3,28c
146,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C(C)=O)N=C4)C=C3,29a
147,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C=NC=C5)N=C4)C=C3,29b
148,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(OC)N=C4)C=C3,29c
149,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5=NN=NN5C)N=C4)C=C3,29d
150,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(CC#N)N=C4)C=C3,29e
151,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5(CC5)N)N=C4)C=C3,29f
152,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#CCO)N=C4)C=C3,29g
153,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C(OC)=O)N=C4)C=C3,29h
154,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,29i
155,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C(O)CO)N=C4)C=C3,30a
156,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C([C@H](O)C)=O)N=C4)C=C3,30b
157,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(/C(C)=N/OCC)N=C4)C=C3,30c
158,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5C[C@](NCCC6)([H])[C@]6([H])C5)N=C4)C=C3,30d
159,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,30e
160,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(OC(CO)C5)=O)N=C4)C=C3,30f
161,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(O[C@H](CO)C5)=O)N=C4)C=C3,30g
162,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(O[C@@H](CO)C5)=O)N=C4)C=C3,30h
163,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5OC(N(C)C5)=O)N=C4)C=C3,30i
164,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C([C@H]5OC(N(C)C5)=O)N=C4)C=C3,30j
165,O=C1O[C@@H](COP([O-])([O-])=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C([C@H]5OC(N(C)C5)=O)N=C4)C=C3.[Na+].[Na+],31
166,O=S1(CCC(C2=CC=C(N3C[C@H](CN4C=CN=N4)OC3=O)C=C2F)=CC1)=O,32
167,NC([C@H](OC1=O)CN1C2=CC=C(C3=CC[S@+]([O-])CC3)C(F)=C2)=O,33
168,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(C#N)N=C5,34a
169,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(N6N=NN=C6)N=C5,34b
170,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(N6C(OC(CO)C6)=O)N=C5,34c
171,O=C1O[C@@H](CN2C=CN=N2)[C@H]3N1C4=CC(F)=C(C5=CN=C(C6=NOC(C)=N6)C=C5)C=C4OC3,34d
172,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(C(O)C)N=C5,34e
173,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(C(C)=O)N=C5,34f
174,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(CN6N=CN=C6)N=C5,34g
175,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(CN6N=CN=N6)N=C5,34h
176,NC([C@H](OC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#N)N=C4)C(F)=C3)=O,35a
177,NC([C@H](OC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5=NOC(C)=N5)N=C4)C(F)=C3)=O,35b
178,NC([C@H](OC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5CCOC5=O)N=C4)C(F)=C3)=O,35c
179,NC([C@H](OC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(CN5N=CN=C5)N=C4)C(F)=C3)=O,35d
180,OC[C@H](SC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#N)N=C4)C=C3,37
181,OC[C@H](NC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#N)N=C4)C=C3,38
182,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(SC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,39
183,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(N(C(OC(C)(C)C)=O)C2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,40
184,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(NC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,41
185,O=C1O[C@@H](CNC(C)=S)[C@H]2N1C3=C(SC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,42
186,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C([C@@H](O)CO)=O)CC4)C(F)=C3,43a
187,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(C5CC5)=O)CC4)C(F)=C3,43b
188,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(C5CCCC5)=O)CC4)C(F)=C3,43c
189,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C([C@@H]5CCCO5)=O)CC4)C(F)=C3,43d
190,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(CO)=O)CC4)C(F)=C3,43e
191,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(CO)=O)CC4)C([H])=C3,43f
192,O=C1O[C@@H](CNC(C(F)(F)F)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(CO)=O)CC4)C(F)=C3,44a
193,O=C1O[C@@H](CNC(C2CC2)=O)[C@H]3N1C4=C(OC3)C=C(C5=CCN(C(CO)=O)CC5)C(F)=C4,44b
194,O=C1O[C@@H](CNC(C2CCC2)=O)[C@H]3N1C4=C(OC3)C=C(C5=CCN(C(CO)=O)CC5)C(F)=C4,44c
195,O=C1O[C@@H](CNC(OC)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(CO)=O)CC4)C(F)=C3,44d
196,O=C1O[C@@H](CNC2=NOC=C2)[C@H]3N1C4=C(OC3)C=C(C5=CCN(C(CO)=O)CC5)C(F)=C4,44e
197,O=C1O[C@@H](CNN2C=CN=N2)[C@H]3N1C4=C(OC3)C=C(C5=CCN(C(CO)=O)CC5)C(F)=C4,44f
198,O=C1O[C@@H](CNC(C(F)(F)F)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(CCO)CC4)C(F)=C3,45a
199,O=C1O[C@@H](CNC(C2CC2)=O)[C@H]3N1C4=C(OC3)C=C(C5=CCN(CCO)CC5)C(F)=C4,45b
200,O=C1O[C@@H](CNC(C2CCC2)=O)[C@H]3N1C4=C(OC3)C=C(C5=CCN(CCO)CC5)C(F)=C4,45c
201,O=C1O[C@@H](CNC(OC)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(CCO)CC4)C(F)=C3,45d
202,O=C1O[C@@H](CNC2=NOC=C2)[C@H]3N1C4=C(OC3)C=C(C5=CCN(CCO)CC5)C(F)=C4,45e
203,O=C1O[C@@H](CNN2C=CN=N2)[C@H]3N1C4=C(OC3)C=C(C5=CCN(CCO)CC5)C(F)=C4,45f
204,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(N4CCSCC4)C(F)=C3,46a
205,O=C1O[C@@H](CNC(C2CC2)=O)[C@H]3N1C4=C(OC3)C=C(N5CCSCC5)C(F)=C4,46B
206,O=C1O[C@@H](CNC(C2CCC2)=O)[C@H]3N1C4=C(OC3)C=C(N5CCSCC5)C(F)=C4,46C
207,O=C1O[C@@H](CNC(OC)=O)[C@H]2N1C3=C(OC2)C=C(N4CCSCC4)C(F)=C3,46D
208,O=C1O[C@@H](CNC2=NOC=C2)[C@H]3N1C4=C(OC3)C=C(N5CCSCC5)C(F)=C4,46E
209,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(N4CCS(CC4)=O)C(F)=C3,46F
210,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(N4C5CSCC4CC5)C(F)=C3,46G
211,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(N4CCC(F)(F)CC4)C(F)=C3,46H
212,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(N4CC5(COC5)C4)C(F)=C3,46i
213,O=C1O[C@@H](CNC(C)=O)[C@H]2N1CC3=CC(C4=CC=C(C#N)C=C4)=C(F)C=C3C2,47a
214,O=C1O[C@@H](CNC(C)=O)[C@H]2N1CC3=CC(N4CCOCC4)=C(F)C=C3C2,47b
215,O=C1O[C@@H](CNC(C)=O)[C@H]2N1CC3=CC(C4=CC=C(C5=NN(C)N=N5)C=C4)=C(F)C=C3C2,47c
216,[H]/C(C1=CC=CC=C1)=N\C2=CC=C(CC(CO3)N(C4C(N(CCC)C4C5=C(Cl)C=C(Cl)C=C5)=O)C3=O)C=C2,48
217,[H]/C(C1=CC=CC=C1)=N\C2=CC=C(CC(CO3)N(C4C(N(CCC)C4C5=C(OC)C=C(OC)C=C5)=O)C3=O)C=C2,49
218,[H]/C(C1=CC=CC=C1)=N\C2=CC=C(CC(CO3)N(C4C(N(C5=CC=CC=C5)C4C6=CC=CC=C6)=O)C3=O)C=C2,50
219,O=C(C1=CC=C([H])C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,51a
220,O=C(C1=CC=C(Br)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,51b
221,O=C(C1=CC=C(Cl)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,51c
222,O=C(C1=CC=C(F)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,51d
223,O=C(C1=CC=C(OC)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,51e
224,O=C(C1=CC=C(C)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,51f
225,O=C(C1=CC=C([N+]([O-])=O)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,51g
226,O=S(NC1=CC=C(C[C@]2(C)NC(OC2)=O)C=C1)(C3=CC=C([H])C=C3)=O,52a
227,O=S(NC1=CC=C(C[C@]2(C)NC(OC2)=O)C=C1)(C3=CC=C(Br)C=C3)=O,52b
228,O=S(NC1=CC=C(C[C@]2(C)NC(OC2)=O)C=C1)(C3=CC=C(Cl)C=C3)=O,52c
229,O=S(NC1=CC=C(C[C@]2(C)NC(OC2)=O)C=C1)(C3=CC=C(F)C=C3)=O,52d
230,O=S(NC1=CC=C(C[C@]2(C)NC(OC2)=O)C=C1)(C3=CC=C(OC)C=C3)=O,52e
231,O=S(NC1=CC=C(C[C@]2(C)NC(OC2)=O)C=C1)(C3=CC=C(C)C=C3)=O,52f
232,O=S(NC1=CC=C(C[C@]2(C)NC(OC2)=O)C=C1)(C3=CC=C([N+]([O-])=O)C=C3)=O,52g
233,S=C(NC1=CC=C([H])C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,53a
234,S=C(NC1=CC=C(Br)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,53b
235,S=C(NC1=CC=C(Cl)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,53c
236,S=C(NC1=CC=C(F)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,53d
237,S=C(NC1=CC=C(I)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,53e
238,S=C(NC1=CC=C(OC)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,53f
239,S=C(NC1=CC=C(C)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,53g
240,S=C(NC1=CC=C([N+]([O-])=O)C=C1)NC2=CC=C(C[C@]3(C)NC(OC3)=O)C=C2,53h
241,ClC1=CC2=C(C(NCCCN3C4(NC(OC4)=O)O/C(C3=O)=C\C5=CC=C(Cl)C=C5)=CC=N2)C=C1,54
242,ClC1=CC2=C(C(NCCCN3C4(NC(OC4)=O)O/C(C3=O)=C\C5=CC=C([N+]([O-])=O)C=C5)=CC=N2)C=C1,55
243,ClC1=CC2=C(C(NCCCN3C4(NC(OC4)=O)O/C(C3=O)=C\C5=CC=C(OC)C=C5)=CC=N2)C=C1,56
244,[H]C(C1NC(OC1)=O)([H])C2=CC=C(NC3=NC(C4=CC=C([N+]([O-])=O)C=C4)=CS3)C=C2,57
245,[H]C(C1NC(OC1)=O)([H])C2=CC=C(NC3=NC(C4=CC=C(Cl)C=C4)=CS3)C=C2,58
246,[H]C(C1NC(OC1)=O)([H])C2=CC=C(NC3=NC(C4=CC=C(Br)C=C4)=CS3)C=C2,59
247,[H]C(C1NC(OC1)=O)([H])C2=CC=C(NC3=NC(C4=CC=C(F)C=C4)=CS3)C=C2,60
248,[H]C(C1NC(OC1)=O)([H])C2=CC=C(NC3=NC(C4=C(F)C=CC=C4)=CS3)C=C2,61
249,[H]C(C1NC(OC1)=O)([H])C2=CC=C(NC3=NC(C4=CC(Cl)=CC=C4)=CS3)C=C2,62
250,[H]C(C1NC(OC1)=O)([H])C2=CC=C(NC3=NC(C4=CC=C(C5=CC=CC=C5)C=C4)=CS3)C=C2,63
251,[H]C(C1NC(OC1)=O)([H])C2=CC=C(NC3=NC(C4=CC(C=CC=C5)=C5C=C4)=CS3)C=C2,64
252,[H]C(C1NC(OC1)=O)([H])C2=CC=C(NC3=NC(C4=C(O)OC(O)=CC4=O)=CS3)C=C2,65
253,CCCC1=CC(C2=N[C@@H](C(NO)=O)CO2)=CC(OC)=C1OC,66
254,O=C(C[C@@H]([C@H](O)C)C(NO)=O)C1=CC=C(C#CC2=CC=C(CN3CCOCC3)C=C2)C=C1,67
255,O=C(N[C@H](C(NO)=O)[C@H](O)C)C1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,68
256,O=C([C@@H](OC1=O)CN1C2=CC=C(C#CC#CCCO)C([H])=C2[H])NO,69a
257,O=C([C@@H](OC1=O)CN1C2=CC=C(C#CC#CCCCO)C([H])=C2[H])NO,69b
258,O=C([C@@H](OC1=O)CN1C2=CC=C(C#CC#C[C@H]3[C@H](CO)C3)C([H])=C2[H])NO,69c
259,O=C([C@@H](OC1=O)CN1C2=CC=C(C#CC#CC3CC3)C([H])=C2[H])NO,69d
260,O=C([C@@H](OC1=O)CN1C2=CC=C(C#CC#CC3CC3)C([H])=C2OC)NO,69e
261,O=C([C@@H](OC1=O)CN1C2=CC=C(C#CC#CC3CC3)C([H])=C2F)NO,69f
262,O=C([C@@H](OC1=O)CN1C2=CC=C(C#CC#CC3CC3)C([N+]([O-])=O)=C2[H])NO,69g
263,O=C([C@@H](OC1=O)CN1C2=CC=C(C#CC#CC3CC3)C(N)=C2[H])NO,69h
264,O=C([C@@H](OC1=O)CN1C2=CC=C(C#CC#CC3CC3)C(F)=C2[H])NO,69i
265,O=C(NO)[C@@H](O1)CN(C2=CCC(C3=CC=CC=C3)C=C2)C1=O,70a
266,O=C(NO)[C@@H](O1)CN(C2=CCC(C#CC3=CC=C(OCCCS(C)(=O)=O)C=C3)C=C2)C1=O,70b
267,O=C(NO)[C@@H](O1)CN(C2=CCC(C#CC3=CC=C(OCCS(C)(=O)=O)C=C3)C=C2)C1=O,70c
268,O=C(NO)[C@@H](O1)CN(C2=CCC(C#CC3=CC=CC=C3)C=C2)C1=O,70d
269,O=C(NO)[C@@H](O1)CN(C2=CCC(C#CC#CC3=CC=CC=C3)C=C2)C1=O,70e
270,O=C(NO)[C@@H](O1)CN(C2=CCC(C#CC#CC3=CC=C(N)C=C3)C=C2)C1=O,70f
271,O=C(NO)[C@@H](O1)CN(C2=CCC(C#CC#CC3=CC=C(S(NC)(=O)=O)C=C3)C=C2)C1=O,70g
272,O=C(NO)[C@@H](O1)CN(C2=CCC(C#CC#CC3CCCC3)C=C2)C1=O,70h
273,O=C(NO)[C@@H](O1)CN(C2=CCC(C#CC#CC3CC3)C=C2)C1=O,70i
274,O=C1OCCN1NC(CCCOC2=CC=C(F)C=C2)=O,71a
275,O=C1OCCN1NC(CCCOC2=CC(F)=CC=C2)=O,71b
276,O=C1OCCN1NC(CCCOC2=CC(Cl)=CC=C2)=O,71c
277,O=C1OCCN1NC(CCCOC2=C(F)C=CC=C2)=O,71d
278,O=C1OCCN1NC(CCCCOC2=CC=C(Cl)C=C2)=O,71e
279,O=C1OCCN1NC(CCCCCOC2=CC=C(Cl)C=C2)=O,71f
280,O=C1OCCN1NC(CCCCOC2=CC=C(F)C=C2)=O,71g
281,O=C1OCCN1NC(CCCOC2=C(F)C=C(F)C=C2)=O,71h
282,O=C1OCCN1NC(CCCOC2=CC(F)=CC(F)=C2)=O,71i
283,O=C1OCCN1NC(CCCOC2=CC=C(Br)C=C2)=O,71j
284,O=C1OCCN1NC(CCCOC2=CC=C([N+]([O-])=O)C=C2)=O,71k
285,O=C1OCCN1NC(CCCSC2=CC=C(Cl)C=C2)=O,71l
